Date,Close,Index
2018-09-10,1941.07,DS30
2018-09-11,1938.44,DS30
2018-09-12,1932.01,DS30
2018-09-13,1919.87,DS30
2018-09-16,1911.08,DS30
2018-09-17,1902.42,DS30
2018-09-18,1905.09,DS30
2018-09-19,1911.21,DS30
2018-09-20,1901.0,DS30
2018-09-23,1897.22,DS30
2018-09-24,1883.46,DS30
2018-09-25,1891.69,DS30
2018-09-26,1897.88,DS30
2018-09-27,1884.82,DS30
2018-09-30,1889.7,DS30
2018-10-01,1888.33,DS30
2018-10-02,1892.66,DS30
2018-10-03,1899.46,DS30
2018-10-04,1898.35,DS30
2018-10-07,1902.24,DS30
2018-10-08,1909.69,DS30
2018-10-09,1928.93,DS30
2018-10-10,1922.39,DS30
2018-10-11,1925.76,DS30
2018-10-14,1922.92,DS30
2018-10-15,1899.91,DS30
2018-10-16,1903.17,DS30
2018-10-17,1897.88,DS30
2018-10-18,1896.07,DS30
2018-10-21,1884.32,DS30
2018-10-22,1859.32,DS30
2018-10-23,1863.96,DS30
2018-10-24,1872.01,DS30
2018-10-25,1876.05,DS30
2018-10-28,1852.83,DS30
2018-10-29,1860.34,DS30
2018-10-30,1876.7,DS30
2018-10-31,1878.03,DS30
2018-11-01,1865.35,DS30
2018-11-04,1852.66,DS30
2018-11-05,1848.26,DS30
2018-11-06,1842.93,DS30
2018-11-07,1853.72,DS30
2018-11-08,1859.09,DS30
2018-11-11,1868.3,DS30
2018-11-12,1855.45,DS30
2018-11-13,1866.77,DS30
2018-11-14,1860.28,DS30
2018-11-15,1856.11,DS30
2018-11-18,1853.04,DS30
2018-11-19,1853.08,DS30
2018-11-20,1868.86,DS30
2018-11-22,1868.96,DS30
2018-11-25,1855.44,DS30
2018-11-26,1857.72,DS30
2018-11-27,1862.03,DS30
2018-11-28,1860.6,DS30
2018-11-29,1861.56,DS30
2018-12-02,1855.47,DS30
2018-12-03,1855.96,DS30
2018-12-04,1870.37,DS30
2018-12-05,1872.44,DS30
2018-12-06,1862.48,DS30
2018-12-09,1855.67,DS30
2018-12-10,1849.69,DS30
2018-12-11,1848.72,DS30
2018-12-12,1842.79,DS30
2018-12-13,1843.77,DS30
2018-12-17,1842.15,DS30
2018-12-18,1843.41,DS30
2018-12-19,1836.24,DS30
2018-12-20,1842.11,DS30
2018-12-23,1850.75,DS30
2018-12-24,1854.75,DS30
2018-12-26,1867.68,DS30
2018-12-27,1880.78,DS30
2019-01-01,1908.19,DS30
2019-01-02,1912.97,DS30
2019-01-03,1941.99,DS30
2019-01-06,1974.09,DS30
2019-01-07,1963.89,DS30
2019-01-08,2001.18,DS30
2019-01-09,2011.11,DS30
2019-01-10,2011.74,DS30
2019-01-13,2030.43,DS30
2019-01-14,2025.99,DS30
2019-01-15,2029.07,DS30
2019-01-16,2017.26,DS30
2019-01-17,2009.48,DS30
2019-01-20,2029.89,DS30
2019-01-21,2021.7,DS30
2019-01-22,2026.1,DS30
2019-01-23,2043.03,DS30
2019-01-24,2049.0,DS30
2019-01-27,2043.52,DS30
2019-01-28,2046.77,DS30
2019-01-29,2046.29,DS30
2019-01-30,2031.73,DS30
2019-01-31,2007.96,DS30
2019-02-03,2003.84,DS30
2019-02-04,2018.2,DS30
2019-02-05,2021.22,DS30
2019-02-06,2022.57,DS30
2019-02-07,2026.09,DS30
2019-02-10,2024.68,DS30
2019-02-11,2003.02,DS30
2019-02-12,1999.79,DS30
2019-02-13,2003.32,DS30
2019-02-14,1999.08,DS30
2019-02-17,2004.74,DS30
2019-02-18,1987.39,DS30
2019-02-19,1995.0,DS30
2019-02-20,2002.17,DS30
2019-02-24,1996.78,DS30
2019-02-25,2016.74,DS30
2019-02-26,2014.4,DS30
2019-02-27,1998.65,DS30
2019-02-28,1998.65,DS30
2019-03-03,2002.42,DS30
2019-03-04,1991.7,DS30
2019-03-05,1995.9,DS30
2019-03-06,1993.13,DS30
2019-03-07,1990.32,DS30
2019-03-10,2001.33,DS30
2019-03-11,1998.87,DS30
2019-03-12,2013.75,DS30
2019-03-13,2005.49,DS30
2019-03-14,2023.66,DS30
2019-03-18,2017.9,DS30
2019-03-19,2014.68,DS30
2019-03-20,2005.58,DS30
2019-03-21,1992.99,DS30
2019-03-24,1972.25,DS30
2019-03-25,1980.07,DS30
2019-03-27,1968.74,DS30
2019-03-28,1968.68,DS30
2019-03-31,1967.21,DS30
2019-04-01,1971.63,DS30
2019-04-02,1977.53,DS30
2019-04-03,1947.86,DS30
2019-04-04,1948.46,DS30
2019-04-07,1942.76,DS30
2019-04-08,1924.53,DS30
2019-04-09,1900.53,DS30
2019-04-10,1877.92,DS30
2019-04-11,1902.97,DS30
2019-04-15,1901.35,DS30
2019-04-16,1876.81,DS30
2019-04-17,1880.5,DS30
2019-04-18,1897.58,DS30
2019-04-21,1892.94,DS30
